03790512_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a motorcycle with chrome exhaust pipes
03797390_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a coffee mug with ceramic handle
03928116_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a grand piano with polished black finish
03938244_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a decorative pillow with patterned cover
03948459_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a handgun with safety mechanism
03991062_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a flower pot with drainage holes
04004475_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a laser printer with paper tray
04074963_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a remote control with multiple buttons
04090263_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a rifle with wooden stock and scope
04099429_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a rocketship with pointed nose cone
04225987_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a skateboard with colorful deck design
04256520_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a three-seater sofa with cushioned armrests
04330267_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a gas stove with four burners
04379243_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a dining table with rectangular top
04401088_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a cordless telephone with numeric keypad
04460130_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a decorative tower structure with multiple levels
04468005_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a toy train with multiple cars
04530566_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a sailboat vessel with tall mast
04554684_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a washing machine with front-loading door
